insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Kosaraju Sheela,SVP and General Counsel,2025-12-20,2025-12-23,164,230.34,37775.76,D,F,104218,False,False,True,0001963781-25-000019,https://www.sec.gov/Archives/edgar/data/936395/000196378125000019/0001963781-25-000019.txt
Kosaraju Sheela,SVP and General Counsel,2025-12-20,2025-12-23,728,230.34,167687.52,D,F,103490,False,False,True,0001963781-25-000019,https://www.sec.gov/Archives/edgar/data/936395/000196378125000019/0001963781-25-000019.txt
Kosaraju Sheela,SVP and General Counsel,2025-12-20,2025-12-23,578,230.34,133136.52,D,F,102912,False,False,True,0001963781-25-000019,https://www.sec.gov/Archives/edgar/data/936395/000196378125000019/0001963781-25-000019.txt
Kosaraju Sheela,SVP and General Counsel,2025-12-20,2025-12-23,345,230.34,79467.3,D,F,102567,False,False,True,0001963781-25-000019,https://www.sec.gov/Archives/edgar/data/936395/000196378125000019/0001963781-25-000019.txt
Kosaraju Sheela,SVP and General Counsel,2025-12-20,2025-12-23,107,230.34,24646.38,D,F,102460,False,False,True,0001963781-25-000019,https://www.sec.gov/Archives/edgar/data/936395/000196378125000019/0001963781-25-000019.txt
Kosaraju Sheela,SVP and General Counsel,2025-12-20,2025-12-23,1438,230.34,331228.92,D,F,101022,False,False,True,0001963781-25-000019,https://www.sec.gov/Archives/edgar/data/936395/000196378125000019/0001963781-25-000019.txt
Kosaraju Sheela,SVP and General Counsel,2025-12-20,2025-12-23,1652,230.34,380521.68,D,F,99370,False,False,True,0001963781-25-000019,https://www.sec.gov/Archives/edgar/data/936395/000196378125000019/0001963781-25-000019.txt
Kosaraju Sheela,SVP and General Counsel,2025-12-20,2025-12-23,1109,230.34,255447.06,D,F,98261,False,False,True,0001963781-25-000019,https://www.sec.gov/Archives/edgar/data/936395/000196378125000019/0001963781-25-000019.txt
Gage Brodie,SVP Global Products & Supply,2025-12-20,2025-12-23,204,230.34,46989.36,D,F,59747,False,False,True,0001998826-25-000035,https://www.sec.gov/Archives/edgar/data/936395/000199882625000035/0001998826-25-000035.txt
Gage Brodie,SVP Global Products & Supply,2025-12-20,2025-12-23,442,230.34,101810.28,D,F,59305,False,False,True,0001998826-25-000035,https://www.sec.gov/Archives/edgar/data/936395/000199882625000035/0001998826-25-000035.txt
Gage Brodie,SVP Global Products & Supply,2025-12-20,2025-12-23,669,230.34,154097.46,D,F,58636,False,False,True,0001998826-25-000035,https://www.sec.gov/Archives/edgar/data/936395/000199882625000035/0001998826-25-000035.txt
Gage Brodie,SVP Global Products & Supply,2025-12-20,2025-12-23,388,230.34,89371.92,D,F,58248,False,False,True,0001998826-25-000035,https://www.sec.gov/Archives/edgar/data/936395/000199882625000035/0001998826-25-000035.txt
Gage Brodie,SVP Global Products & Supply,2025-12-20,2025-12-23,212,230.34,48832.08,D,F,58036,False,False,True,0001998826-25-000035,https://www.sec.gov/Archives/edgar/data/936395/000199882625000035/0001998826-25-000035.txt
Gage Brodie,SVP Global Products & Supply,2025-12-20,2025-12-23,1860,230.34,428432.4,D,F,56176,False,False,True,0001998826-25-000035,https://www.sec.gov/Archives/edgar/data/936395/000199882625000035/0001998826-25-000035.txt
Gage Brodie,SVP Global Products & Supply,2025-12-20,2025-12-23,1618,230.34,372690.12,D,F,54558,False,False,True,0001998826-25-000035,https://www.sec.gov/Archives/edgar/data/936395/000199882625000035/0001998826-25-000035.txt
Gage Brodie,SVP Global Products & Supply,2025-12-20,2025-12-23,1285,230.34,295986.9,D,F,53273,False,False,True,0001998826-25-000035,https://www.sec.gov/Archives/edgar/data/936395/000199882625000035/0001998826-25-000035.txt
DiPerna Dino,SVP Global R&D,2025-12-20,2025-12-23,204,230.34,46989.36,D,F,59550,False,False,True,0001998460-25-000021,https://www.sec.gov/Archives/edgar/data/936395/000199846025000021/0001998460-25-000021.txt
DiPerna Dino,SVP Global R&D,2025-12-20,2025-12-23,444,230.34,102270.96,D,F,59106,False,False,True,0001998460-25-000021,https://www.sec.gov/Archives/edgar/data/936395/000199846025000021/0001998460-25-000021.txt
DiPerna Dino,SVP Global R&D,2025-12-20,2025-12-23,730,230.34,168148.2,D,F,58376,False,False,True,0001998460-25-000021,https://www.sec.gov/Archives/edgar/data/936395/000199846025000021/0001998460-25-000021.txt
DiPerna Dino,SVP Global R&D,2025-12-20,2025-12-23,428,230.34,98585.52,D,F,57948,False,False,True,0001998460-25-000021,https://www.sec.gov/Archives/edgar/data/936395/000199846025000021/0001998460-25-000021.txt
DiPerna Dino,SVP Global R&D,2025-12-20,2025-12-23,319,230.34,73478.46,D,F,57629,False,False,True,0001998460-25-000021,https://www.sec.gov/Archives/edgar/data/936395/000199846025000021/0001998460-25-000021.txt
